"title","keywords","link"
"Global_monthly_ET_halfdeg_1992.h5","Flux, evaporation ; Evapotranspiration, potential","ftp://ftp.ntsg.umt.edu/pub/data/global_monthly_ET/Global_1DegResolution/HDF5Format/Global_monthly_ET_1992.h5"
"Global_monthly_ET_halfdeg_1993.h5","Flux, evaporation ; Evapotranspiration, potential","ftp://ftp.ntsg.umt.edu/pub/data/global_monthly_ET/Global_1DegResolution/HDF5Format/Global_monthly_ET_1993.h5"
"Global_monthly_ET_halfdeg_1994.h5","Flux, evaporation ; Evapotranspiration, potential","ftp://ftp.ntsg.umt.edu/pub/data/global_monthly_ET/Global_1DegResolution/HDF5Format/Global_monthly_ET_1994.h5"
"Global_monthly_ET_halfdeg_1995.h5","Flux, evaporation ; Evapotranspiration, potential","ftp://ftp.ntsg.umt.edu/pub/data/global_monthly_ET/Global_1DegResolution/HDF5Format/Global_monthly_ET_1995.h5"
"Global_monthly_ET_halfdeg_1996.h5","Flux, evaporation ; Evapotranspiration, potential","ftp://ftp.ntsg.umt.edu/pub/data/global_monthly_ET/Global_1DegResolution/HDF5Format/Global_monthly_ET_1996.h5"
"Global_monthly_ET_halfdeg_1997.h5","Flux, evaporation ; Evapotranspiration, potential","ftp://ftp.ntsg.umt.edu/pub/data/global_monthly_ET/Global_1DegResolution/HDF5Format/Global_monthly_ET_1997.h5"
"Global_monthly_ET_halfdeg_1998.h5","Flux, evaporation ; Evapotranspiration, potential","ftp://ftp.ntsg.umt.edu/pub/data/global_monthly_ET/Global_1DegResolution/HDF5Format/Global_monthly_ET_1998.h5"
"Global_monthly_ET_halfdeg_1999.h5","Flux, evaporation ; Evapotranspiration, potential","ftp://ftp.ntsg.umt.edu/pub/data/global_monthly_ET/Global_1DegResolution/HDF5Format/Global_monthly_ET_1999.h5"
"Global_monthly_ET_halfdeg_2000.h5","Flux, evaporation ; Evapotranspiration, potential","ftp://ftp.ntsg.umt.edu/pub/data/global_monthly_ET/Global_1DegResolution/HDF5Format/Global_monthly_ET_2000.h5"
"Global_monthly_ET_halfdeg_2001.h5","Flux, evaporation ; Evapotranspiration, potential","ftp://ftp.ntsg.umt.edu/pub/data/global_monthly_ET/Global_1DegResolution/HDF5Format/Global_monthly_ET_2001.h5"
"Global_monthly_ET_halfdeg_2002.h5","Flux, evaporation ; Evapotranspiration, potential","ftp://ftp.ntsg.umt.edu/pub/data/global_monthly_ET/Global_1DegResolution/HDF5Format/Global_monthly_ET_2002.h5"
"Global_monthly_ET_halfdeg_2003.h5","Flux, evaporation ; Evapotranspiration, potential","ftp://ftp.ntsg.umt.edu/pub/data/global_monthly_ET/Global_1DegResolution/HDF5Format/Global_monthly_ET_2003.h5"
"Global_monthly_ET_halfdeg_2004.h5","Flux, evaporation ; Evapotranspiration, potential","ftp://ftp.ntsg.umt.edu/pub/data/global_monthly_ET/Global_1DegResolution/HDF5Format/Global_monthly_ET_2004.h5"
"Global_monthly_ET_halfdeg_2005.h5","Flux, evaporation ; Evapotranspiration, potential","ftp://ftp.ntsg.umt.edu/pub/data/global_monthly_ET/Global_1DegResolution/HDF5Format/Global_monthly_ET_2005.h5"
"Global_monthly_ET_halfdeg_2006.h5","Flux, evaporation ; Evapotranspiration, potential","ftp://ftp.ntsg.umt.edu/pub/data/global_monthly_ET/Global_1DegResolution/HDF5Format/Global_monthly_ET_2006.h5"
"AMSR-E/Aqua Daily L3 Surface Soil Moisture, Interpretive Parameters, & QC EASE-Grids","Water content, soil","ftp://n5eil01u.ecs.nsidc.org/SAN/AMSA/AE_Land3.002/2002.06.19/AMSR_E_L3_DailyLand_V06_20020619.hdf"
"AMSRE_36V_AM_FT_2002_day170.h5","Temperature, soil ; Water content, soil","ftp://ftp.ntsg.umt.edu/pub/data/FT_ESDR/DAILY_HDF5/AMSRE/2002/AMSRE_36V_AM_FT_2002_day170.h5"
" HYDE 3.1 Summary of historical population data (totals, percentages, etc), Global historical population estimates 10k BC - 2 k AD (in millions)","Population, human","http://themasites.pbl.nl/images/pop_summary_tcm61-44258.xls"
"10000bc_pop.zip","Population, human","ftp://ftp.pbl.nl/hyde/hyde31_final/10000bc_pop.zip"
"9000bc_pop.zip","Population, human","ftp://ftp.pbl.nl/hyde/hyde31_final/9000bc_pop.zip"
"8000bc_pop.zip","Population, human","ftp://ftp.pbl.nl/hyde/hyde31_final/8000bc_pop.zip"
"7000bc_pop.zip","Population, human","ftp://ftp.pbl.nl/hyde/hyde31_final/7000bc_pop.zip"
"6000bc_pop.zip","Population, human","ftp://ftp.pbl.nl/hyde/hyde31_final/6000bc_pop.zip"
"5000bc_pop.zip","Population, human","ftp://ftp.pbl.nl/hyde/hyde31_final/5000bc_pop.zip"
"4000bc_pop.zip","Population, human","ftp://ftp.pbl.nl/hyde/hyde31_final/4000bc_pop.zip"
"3000bc_pop.zip","Population, human","ftp://ftp.pbl.nl/hyde/hyde31_final/3000bc_pop.zip"
"2000bc_pop.zip","Population, human","ftp://ftp.pbl.nl/hyde/hyde31_final/2000bc_pop.zip"
"1000bc_pop.zip","Population, human","ftp://ftp.pbl.nl/hyde/hyde31_final/1000bc_pop.zip"
"0ad_pop.zip","Population, human","ftp://ftp.pbl.nl/hyde/hyde31_final/0ad_pop.zip"
"100ad_pop.zip","Population, human","ftp://ftp.pbl.nl/hyde/hyde31_final/100ad_pop.zip"
"200ad_pop.zip","Population, human","ftp://ftp.pbl.nl/hyde/hyde31_final/200ad_pop.zip"
"300ad_pop.zip","Population, human","ftp://ftp.pbl.nl/hyde/hyde31_final/300ad_pop.zip"
