File_ID,ID,LAT,LON,X..lambert.azimuthal.equal.area.,Y..lambert.azimuthal.equal.area.,River_Name,Station_Location,Catchment_Area (km2),Outlet_elevation (m.a.s.l),nat_id,Country,Pristine Basins,GRDC Reference Dataset,AdaptAlp,d_start,d_end,d_yrs,d_miss,basin_boundary,,ID,wso1_id,ccm,Xccm,Yccm,AreaSHP,fileexists,area_diff,area_diff,FLAG_OK,wso1new,area,station,distance,REL_area_diff,final_wso1_id,,katka,exists,,,
GRDC_6118100_DMF,6118100,"48,1019","-3,9875","-1752427,145","-469253,7915",BRIEC (PONT D72),BRIEC (PONT D72),"7,04","186,99",J4214510,FR,1,0,0,1967,2012,46,"0,66",0,,6118100,345331,2003,"3285851,498","2874957,042","7,04000000000477",1,"0,00000000000476862993536997","0,0000000000677362206728689",2,344418,7,BRIEC (PONT D72),"7,88733574902001","0,568181818181819",344418,,GRDC_6144100_DMF,1,2005,626056,"1805,67000000062"
GRDC_6118130_DMF,6118130,"48,5304","-4,3627","-1763309,988","-414589,8292",DRENNEC,DRENNEC,24,"90,6",J3205710,FR,1,0,0,1966,2012,47,"0,07",0,,6118130,340080,2003,"3267491,257","2927199,857","24,5199999999986",1,"0,519999999998568","2,1666666666607",2,340147,"24,5",DRENNEC,"6,80756371608078","2,08333333333333",340147,,GRDC_6144150_DMF,1,2005,620021,"700,129999999978"
GRDC_6118150_DMF,6118150,"48,615","-4,077","-1740522,42","-412692,0193",TREZILIDE,TREZILIDE,43,"91,1",J3024010,FR,1,0,0,1966,2012,47,"2,03",0,,6118150,339520,2003,"3289898,464","2932412,79","46,7600000000019",1,"3,76000000000191","8,74418604651607",1,,,,,,339520,,GRDC_6144200_DMF,1,2005,622104,"10869,6600000032"
GRDC_6118160_DMF,6118160,"48,5848","-3,9241","-1731004,048","-419633,751",TAULE (PENHOAT),TAULE (PENHOAT),141,"61,97",J2723010,FR,1,0,0,1967,2012,46,"2,71",0,,6118160,339881,2003,"3300325,68","2926971,519","159,259999999989",1,"18,259999999989","12,9503546099213",0,339881,"159,2",TAULE (PENHOAT),"1,04033449513194","12,9078014184397",,,GRDC_6144300_DMF,1,2005,618692,"4267,41999999907"
GRDC_6118165_DMF,6118165,"48,7479","0,5806","-1410522,905","-501870,7411",RAI,RAI,149,"255,45",I0011010,FR,1,0,0,1965,2012,48,"6,33",0,,6118165,343610,2003,"3630223,016","2892518,41","157,080000000017",1,"8,0800000000167","5,42281879195751",1,,,,,,343610,,GRDC_6144350_DMF,1,2005,615879,"1300,7100000003"
GRDC_6118175_DMF,6118175,"48,5656","-3,8005","-1723110,312","-424678,4101",PLOUGONVEN,PLOUGONVEN,44,"73,86",J2603010,FR,1,0,0,1966,2012,47,"1,07",0,,6118175,340678,2003,"3308874,051","2923159,547","43,830000000021",1,"-0,169999999979019","-0,386363636315953",1,,,,,,340678,,GRDC_6144400_DMF,0,,,
GRDC_6118185_DMF,6118185,"48,2716","-2,0435","-1610213,055","-497202,1872",MEDREAC,MEDREAC,82,"111,34",J0626610,FR,1,0,0,1967,2012,46,0,0,,6118185,345937,2003,"3431117,364","2868181,936","56,6100000000033",1,"-25,3899999999967","-30,9634146341423",0,-999,-999,-999,-999,-999,,,GRDC_6242020_DMF,1,2005,673038,"87,3100000000091"
GRDC_6118195_DMF,6118195,"48,5251","-1,6895","-1577149,122","-478062,0263",EPINIAC,EPINIAC,63,"71,45",J0323010,FR,1,0,0,1967,2012,46,0,0,,6118195,343706,2003,"3461365,125","2891860,174","74,4300000000243",1,"11,4300000000243","18,1428571428958",0,343068,"71,7",EPINIAC,"6,50998264175102","13,8095238095238",,,GRDC_6242200_DMF,1,2005,671498,"198,920000000074"
GRDC_6118205_DMF,6118205,"48,427","-1,4363","-1562468,278","-494145,7317",SAINT-OUEN-LA-ROUERIE,SAINT-OUEN-LA-ROUERIE,"81,5","103,34",J0144010,FR,1,0,0,1968,2012,45,0,0,,6118205,344950,2003,"3478163,891","2878136,96","83,6600000000334",1,"2,16000000003338","2,65030674850721",1,,,,,,344950,,GRDC_6242250_DMF,1,2005,639281,"5957,32999999931"
GRDC_6118210_DMF,6118210,"48,1275","-1,9448","-1607911,208","-514821,635",MONFORT-SUR-MEU (LABBAYE),MONFORT-SUR-MEU (LABBAYE),468,"83,5",J7353010,FR,1,0,0,1968,2012,45,0,0,,6118210,347269,2003,"3435817,425","2851147,666","503,149999999974",1,"35,1499999999738","7,51068376067816",1,,,,,,347269,,GRDC_6242251_DMF,1,2005,662479,"134,959999999971"
