grdc_no,wmo_reg,sub_reg,mix_reg,nat_id,river,station,country_code,lat,long,area,altitude,ds_stat_no,w_level,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,proc_tyrs,proc_tmon,f_import,f_im_yr,l_import,l_im_yr,provider_id,acsys,flux2ocean,gems,gcos_gtn-h,statistics,Pristine Basins,GRDC Reference Dataset,AdaptAlp,ArctHycos,
5302290,5,2,502,229214,LITTLE YARRA RIVER,YARRA JUNCTION,AU,"-37,7831","145,6169",140,-999,0,0,1963,2001,39,0,    ,    ,     ,     ,1963,2001,39,"1,457","0,046",328,"97,4","99,6",30.5.1995,1995,3.6.2002,2002,6,0,0,1,0,0,0,0,0,0,0
5302295,5,2,502,229111,O'SHANNASSY RIVER,O'SHANNASSY WEIR,AU,"-37,69","145,81",119,-999,0,0,    ,    ,     ,     ,1912,1970,59,0,1912,1970,59,"8,291","0,261",2197,100,100,18.2.1992,1992,18.2.1992,1992,-999,0,0,0,0,0,0,0,0,0,0
5302300,5,2,502,230200,MARIBYRNONG RIVER,KEILOR,AU,"-37,7272","144,836",1303,"15,16",0,0,1908,2001,94,"26,27",1908,2001,94,"29,66",1908,2001,94,"3,31","0,104",80,"72,3","99,9",30.5.1995,1995,3.6.2002,2002,6,0,0,0,0,0,0,0,0,0,0
5302310,5,2,502,231213,LERDERDERG RIVER,SARDINE CREEK / O'BRIEN CROSSING,AU,"-37,4964","144,361","152,15",448,0,0,1959,2008,50,0,    ,    ,     ,     ,1959,2008,50,"0,853","0,027",177,98,"99,8",30.1.2013,2013,30.1.2013,2013,6,0,0,0,0,0,1,0,0,0,0
5302320,5,2,502,232202,MOORABOOL RIVER,BATESFORD,AU,"-38,0895","144,2784",1114,-999,0,0,1908,2001,94,"39,85",1908,2001,94,"44,54",1908,2001,94,"2,036","0,064",58,"59,6","99,9",30.5.1995,1995,3.6.2002,2002,6,0,0,0,0,0,0,0,0,0,0
5302325,5,2,502,233200,BARWON RIVER,POLLOCKSFORD,AU,"-38,1435","144,187",2713,"28,91",0,0,1906,2001,96,"49,4",1906,2001,96,"49,34",1906,2001,96,"6,997","0,221",81,49,"99,8",11.2.1998,1998,3.6.2002,2002,6,0,0,0,0,1,0,0,0,0,0
5302326,5,2,502,233214,BARWON RIVER,EAST BRANCH AT FORREST ABOVE TUNNEL,AU,"-38,5331","143,7331",17,-999,5302325,0,1955,2002,48,0,1955,2002,48,"0,53",1955,2002,48,"0,272","0,009",505,"95,8",100,3.6.2002,2002,3.6.2002,2002,6,0,0,0,0,0,0,0,0,0,0
5302350,5,2,502,235208,GELLIBRAND RIVER,CARLISLE,AU,"-38,5919","143,3333",565,-999,0,0,1964,1991,28,0,    ,    ,     ,     ,1964,1991,28,"5,514","0,174",308,"96,4","99,4",30.5.1995,1995,3.6.2002,2002,6,0,0,0,0,0,0,0,0,0,0
5302351,5,2,502,235205,ARKINS CREEK (W. BRANCH),WYELANGRA,AU,"-38,65","143,45","3,9",-999,0,0,1958,2002,45,"0,05",    ,    ,     ,     ,1958,2002,45,"0,129","0,004",1047,"97,8","99,8",30.5.1995,1995,3.6.2002,2002,6,0,0,0,0,0,0,0,0,0,0
5302360,5,2,502,236205,MERRI RIVER,WOODFORD,AU,"-38,3161","147,4836",899,-999,0,0,1948,1994,47,"0,01",1948,1994,47,0,1948,1994,47,"2,24","0,071",79,"95,7",100,30.5.1995,1995,9.7.1999,1999,-999,0,0,0,0,0,0,0,0,0,0
5302365,5,2,502,236209,HOPKINS RIVER,HOPKINS FALLS,AU,"-38,3338","142,6257",8355,-999,0,0,1955,2001,47,0,    ,    ,     ,     ,1955,2001,47,"8,585","0,271",32,"95,7",100,30.5.1995,1995,3.6.2002,2002,6,0,0,0,0,1,0,0,0,0,0
5302380,5,2,502,238204,WANNON RIVER,DUNKELD,AU,"-37,6314","142,3361",671,"223,03",0,0,1920,2002,83,"12,36",    ,    ,     ,     ,1920,2002,83,"0,879","0,028",41,"85,5","99,9",30.5.1995,1995,3.6.2002,2002,6,0,0,0,0,0,0,0,0,0,0
5402390,5,2,502,A2390519,MOSQUITO CREEK,STRUAN,AU,"-37,094","140,776",1550,52,0,0,1971,2011,41,0,1971,2001,31,0,1971,2011,41,"0,692","0,022",14,"95,1",100,30.5.1995,1995,1.2.2013,2013,6,0,0,0,0,0,1,0,0,0,0
5302400,5,2,502,238206,GLENELG RIVER,DARTMOOR,AU,"-37,9252","141,2811",11914,"7,69",0,0,1948,2010,63,"0,13",1948,2001,54,0,1948,2010,63,"16,521","0,521",44,"98,4","99,7",3.6.2002,2002,9.11.2011,2011,6,0,0,0,1,1,0,0,0,0,0
5302410,5,2,502,238208,JIMMY CREEK,JIMMY CREEK,AU,"-37,375","142,5081","22,5",-999,5302380,0,1950,2002,53,0,1950,2002,53,0,1950,2002,53,"0,117","0,004",164,"98,1",100,3.6.2002,2002,3.6.2002,2002,6,0,0,0,0,0,1,0,0,0,0
5803020,5,3,503,302207,LITTLE SWANPORT RIVER,UPSTREAM TASMAN HWY,AU,"-42,34","147,89",597,10,0,0,1971,1990,20,0,1971,1990,20,0,1971,1990,20,"2,105","0,066",111,90,100,10.1.1992,1992,29.4.1996,1996,-999,0,0,0,0,0,0,0,0,0,0
5803030,5,3,503,302214,ANSONS RIVER,DOWNSTREAM BIG BOGGY CREEK,AU,"-41,0478","148,2161",228,15,0,0,1979,2002,24,0,1979,1994,16,0,1979,2002,24,"1,832","0,058",253,"91,7",100,23.1.1996,1996,11.8.2003,2003,6,0,0,0,0,0,0,0,0,0,0
5803040,5,3,503,304497,NIVE RIVER,GOWAN BRAE,AU,"-42,03","146,42","185,5",1199,0,0,1964,1994,31,"0,22",1964,1994,31,"0,27",1964,1994,31,"25,413","0,801",4320,"96,8","99,4",10.1.1992,1992,29.4.1996,1996,-999,0,0,0,0,0,0,0,0,0,0
