"title","keywords","link"
"Belgium 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/belgium-2013-bathing-water-report/at_download/file"
"Bulgaria 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/bulgaria-2013-bathing-water-report/at_download/file"
"Croatia 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/croatia-2013-bathing-water-report/at_download/file"
"Cyprus 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/cyprus-2013-bathing-water-report/at_download/file"
"Czech Republic 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/czech-republic-2013-bathing-water-report/at_download/file"
"Denmark 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/denmark-2013-bathing-water-report/at_download/file"
"Estonia 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/estonia-2013-bathing-water-report/at_download/file"
"Finland 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/finland-2013-bathing-water-report/at_download/file"
"France 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/france-2013-bathing-water-report/at_download/file"
"Germany 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/germany-2013-bathing-water-report/at_download/file"
"Greece 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/greece-2013-bathing-water-report/at_download/file"
"Hungary 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/hungary-2013-bathing-water-report/at_download/file"
"Ireland 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/ireland-2013-bathing-water-report/at_download/file"
"Italy 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/italy-2013-bathing-water-report/at_download/file"
"Latvia 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/latvia-2013-bathing-water-report/at_download/file"
"Lithuania 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/lithuania-2013-bathing-water-report/at_download/file"
"Luxembourg 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/luxembourg/at_download/file"
"Malta 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/malta-2013-bathing-water-report/at_download/file"
"Netherlands 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/netherlands-2013-bathing-water-report/at_download/file"
"Poland 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/poland-2013-bathing-water-report/at_download/file"
"Portugal 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/portugal-2013-bathing-water-report/at_download/file"
"Romania 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/romania-2013-bathing-water-report/at_download/file"
"Slovakia 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/slovakia-2013-bathing-water-report/at_download/file"
"Slovenia 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/slovenia-2013-bathing-water-report/at_download/file"
"Spain 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/spain-2013-bathing-water-report/at_download/file"
"Sweden 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/sweden-2013-bathing-water-report/at_download/file"
"Switzerland 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/switzerland/at_download/file"
"United Kingdom 2013 bathing water report","Water body","http://www.eea.europa.eu/themes/water/status-and-monitoring/state-of-bathing-water/country-reports-2013-bathing-season/united-kingdom-2013-bathing-water-report/at_download/file"
