"title","keywords","link"
"Corine Land Cover- Transitional woodland-shrub","Land cover ; Biological, vegetation","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c324.zip"
"Corine Land Cover- Sclerophyllous vegetation","Biological, vegetation","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c323.zip"
"Corine Land Cover- Moors and heathland","Land cover","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c322.zip"
"Corine Land Cover- Natural grasslands","Land cover","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c321.zip"
"Corine Land Cover- Mixed forest","Land cover ; Biological, vegetation","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c313.zip"
"Corine Land Cover- Salt marshes","Land cover ; Land management","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c421.zip"
"Corine Land Cover- Salines","Land cover ; Chemical","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c422.zip"
"Corine Land Cover- Intertidal flats","Land cover ; Land management","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c423.zip"
"Corine Land Cover- Water courses","Land cover ; Land management","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c511.zip"
"Corine Land Cover- Water bodies","Land cover ; Water body","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c512.zip"
"Corine Land Cover- Coastal lagoons","Land cover ; Water body, sea","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c521.zip"
"Corine Land Cover- Estuaries","Land cover ; Water body, river","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c522.zip"
"Corine Land Cover- Sea and ocean","Land cover ; Water body, sea","http://ftp.eea.europa.eu/www/corine_land_cover/v17/clc00_c523.zip"
"Natura 2000 sites, version 2009 european data","Delineation","http://ftp.eea.europa.eu/www/eea-data/Natura2000_Public_end2009_100KLAEA.zip"
"EWA (European Water Archive)","Discharge, stream","http://www.bafg.de/GRDC/EN/04_spcldtbss/42_EWA/ewa_node.html"
"E-HYPE river discharge","Discharge, stream","http://www.water-switch-on.eu/level_A_dataset.html"
"E-Hype - Subbasins","Delineation, catchment","http://www.eea.europa.eu/data-and-maps/data/wise-river-basin-districts-rbds/zipped-personal-geodatabase-with-transitional-waters-version-1-0-polygon-vector/zipped-personal-geodatabase-with-transitional-waters-version-1-0-polygon-vector/download"
"The European Pollutant Release and Transfer Register (E-PRTR)","Chemical, organic ; nutrient","http://www.eea.europa.eu/data-and-maps/data/member-states-reporting-art-7-under-the-european-pollutant-release-and-transfer-register-e-prtr-regulation-10/european-pollutant-release-and-transfer-register-e-prtr-data-base/eprtr-access/download"
"Coastal water body shapes, version 1.3, Additional information","Delineation, catchment ; water body, ocean","http://ftp.eea.europa.eu/www/eea-data/wise_rbds_f1v3.zip"
"Surface water body ecological status","Chemical ; Water body","http://discomap.eea.europa.eu/report/wfd/swb_status"
"Transitional water body shapes","Water body, sea","http://www.eea.europa.eu/data-and-maps/data/wise-river-basin-districts-rbds/zipped-personal-geodatabase-with-transitional-waters-version-1-0-polygon-vector/zipped-personal-geodatabase-with-transitional-waters-version-1-0-polygon-vector/download"
"Common Database on Designated Areas","Delineation ; land cover ; water body, river ; water body, sea ; water body, lake","http://www.eea.europa.eu/data-and-maps/data/nationally-designated-areas-national-cdda-9/cdda/cdda-microsoft-access-database-file/download"
"European catchments and Rivers network system (Ecrins)","Delineation, catchment ; level, surface","http://www.eea.europa.eu/data-and-maps/data/european-catchments-and-rivers-network"
"The European Pollutant Release and Transfer Register (E-PRTR), Member States reporting under Article 7 of Regulation (EC) No 166/2006","Chemical","http://www.eea.europa.eu/data-and-maps/data/member-states-reporting-art-7-under-the-european-pollutant-release-and-transfer-register-e-prtr-regulation-10/european-pollutant-release-and-transfer-register-e-prtr-data-base/eprtr-access/download"
"Waterbase - UWWTD: Urban Waste Water Treatment Directive – reported data","Nutrient","http://www.eea.europa.eu/data-and-maps/data/waterbase-uwwtd-urban-waste-water-treatment-directive-4"
"HELCOM Nutrient loading","Nutrient","http://helcom.fi/baltic-sea-trends/data-maps/land-based-pollution/nutrient-loading/"
"Digital Elevation Model over Europe (EU-DEM)","Level, surface","http://www.eea.europa.eu/data-and-maps/data/eu-dem"
"Natura 2000 data - the European network of protected sites","Delineation ; natural risk zone","http://www.eea.europa.eu/data-and-maps/data/natura-6/natura-2000-tabular-data-12-tables/natura-2000-access-database/download"
